generator	BR (F/B)	BR (R/L)	FR	estimated	actual
	0	0	0	0	0
F2	0	1	0	1	1
B2	0	1	0	1	1
R2	1	0	0	1	1
L2	1	0	0	1	1
U2	0	0	1	1	1
D2	0	0	1	1	1
F2 B2	0	2	0	2	2
F2 R2	1	1	0	2	2
F2 L2	1	1	0	2	2
F2 U2	0	1	1	2	2
F2 D2	0	1	1	2	2
B2 R2	1	1	0	2	2
B2 L2	1	1	0	2	2
B2 U2	0	1	1	2	2
B2 D2	0	1	1	2	2
R2 F2	1	1	0	2	2
R2 B2	1	1	0	2	2
R2 L2	2	0	0	2	2
R2 U2	1	0	1	2	2
R2 D2	1	0	1	2	2
L2 F2	1	1	0	2	2
L2 B2	1	1	0	2	2
L2 U2	1	0	1	2	2
L2 D2	1	0	1	2	2
U2 F2	0	1	1	2	2
U2 B2	0	1	1	2	2
U2 R2	1	0	1	2	2
U2 L2	1	0	1	2	2
U2 D2	0	0	2	2	2
D2 F2	0	1	1	2	2
D2 B2	0	1	1	2	2
D2 R2	1	0	1	2	2
D2 L2	1	0	1	2	2
F2 B2 R2	1	2	0	3	3
F2 B2 L2	1	2	0	3	3
F2 B2 U2	0	2	1	3	3
F2 B2 D2	0	2	1	3	3
F2 R2 F2	1	2	0	3	3
F2 R2 B2	1	2	0	3	3
F2 R2 L2	2	1	0	3	3
F2 R2 U2	1	1	1	3	3
F2 R2 D2	1	1	1	3	3
F2 L2 F2	1	2	0	3	3
F2 L2 B2	1	2	0	3	3
F2 L2 U2	1	1	1	3	3
F2 L2 D2	1	1	1	3	3
F2 U2 F2	0	2	1	3	3
F2 U2 B2	0	2	1	3	3
F2 U2 R2	1	1	1	3	3
F2 U2 L2	1	1	1	3	3
F2 U2 D2	0	1	2	3	3
F2 D2 F2	0	2	1	3	3
F2 D2 B2	0	2	1	3	3
F2 D2 R2	1	1	1	3	3
F2 D2 L2	1	1	1	3	3
B2 R2 F2	1	2	0	3	3
B2 R2 B2	1	2	0	3	3
B2 R2 L2	2	1	0	3	3
B2 R2 U2	1	1	1	3	3
B2 R2 D2	1	1	1	3	3
B2 L2 F2	1	2	0	3	3
B2 L2 B2	1	2	0	3	3
B2 L2 U2	1	1	1	3	3
B2 L2 D2	1	1	1	3	3
B2 U2 F2	0	2	1	3	3
B2 U2 B2	0	2	1	3	3
B2 U2 R2	1	1	1	3	3
B2 U2 L2	1	1	1	3	3
B2 U2 D2	0	1	2	3	3
B2 D2 F2	0	2	1	3	3
B2 D2 B2	0	2	1	3	3
B2 D2 R2	1	1	1	3	3
B2 D2 L2	1	1	1	3	3
R2 F2 B2	1	2	0	3	3
R2 F2 R2	2	1	0	3	3
R2 F2 L2	2	1	0	3	3
R2 F2 U2	1	1	1	3	3
R2 F2 D2	1	1	1	3	3
R2 B2 R2	2	1	0	3	3
R2 B2 L2	2	1	0	3	3
R2 B2 U2	1	1	1	3	3
R2 B2 D2	1	1	1	3	3
R2 L2 F2	2	1	0	3	3
R2 L2 B2	2	1	0	3	3
R2 L2 U2	2	0	1	3	3
R2 L2 D2	2	0	1	3	3
R2 U2 F2	1	1	1	3	3
R2 U2 B2	1	1	1	3	3
R2 U2 R2	2	0	1	3	3
R2 U2 L2	2	0	1	3	3
R2 U2 D2	1	0	2	3	3
R2 D2 F2	1	1	1	3	3
R2 D2 B2	1	1	1	3	3
R2 D2 R2	2	0	1	3	3
R2 D2 L2	2	0	1	3	3
L2 F2 B2	1	2	0	3	3
L2 F2 R2	2	1	0	3	3
L2 F2 L2	2	1	0	3	3
L2 F2 U2	1	1	1	3	3
L2 F2 D2	1	1	1	3	3
L2 B2 R2	2	1	0	3	3
L2 B2 L2	2	1	0	3	3
L2 B2 U2	1	1	1	3	3
L2 B2 D2	1	1	1	3	3
L2 U2 F2	1	1	1	3	3
L2 U2 B2	1	1	1	3	3
L2 U2 R2	2	0	1	3	3
L2 U2 L2	2	0	1	3	3
L2 U2 D2	1	0	2	3	3
L2 D2 F2	1	1	1	3	3
L2 D2 B2	1	1	1	3	3
L2 D2 R2	2	0	1	3	3
L2 D2 L2	2	0	1	3	3
U2 F2 B2	0	2	1	3	3
U2 F2 R2	1	1	1	3	3
U2 F2 L2	1	1	1	3	3
U2 F2 U2	0	1	2	3	3
U2 F2 D2	0	1	2	3	3
U2 B2 R2	1	1	1	3	3
U2 B2 L2	1	1	1	3	3
U2 B2 U2	0	1	2	3	3
U2 B2 D2	0	1	2	3	3
U2 R2 F2	1	1	1	3	3
U2 R2 B2	1	1	1	3	3
U2 R2 L2	2	0	1	3	3
U2 R2 U2	1	0	2	3	3
U2 R2 D2	1	0	2	3	3
U2 L2 F2	1	1	1	3	3
U2 L2 B2	1	1	1	3	3
U2 L2 U2	1	0	2	3	3
U2 L2 D2	1	0	2	3	3
D2 F2 B2	0	2	1	3	3
D2 F2 R2	1	1	1	3	3
D2 F2 L2	1	1	1	3	3
D2 B2 R2	1	1	1	3	3
D2 B2 L2	1	1	1	3	3
D2 R2 F2	1	1	1	3	3
D2 R2 B2	1	1	1	3	3
D2 R2 L2	2	0	1	3	3
D2 L2 F2	1	1	1	3	3
D2 L2 B2	1	1	1	3	3
F2 B2 R2 F2	1	3	0	4	4
F2 B2 R2 B2	1	3	0	4	4
F2 B2 R2 L2	2	2	0	4	4
F2 B2 R2 U2	1	2	1	4	4
F2 B2 R2 D2	1	2	1	4	4
F2 B2 L2 F2	1	3	0	4	4
F2 B2 L2 B2	1	3	0	4	4
F2 B2 L2 U2	1	2	1	4	4
F2 B2 L2 D2	1	2	1	4	4
F2 B2 U2 F2	0	3	1	4	4
F2 B2 U2 B2	0	3	1	4	4
F2 B2 U2 R2	1	2	1	4	4
F2 B2 U2 L2	1	2	1	4	4
F2 B2 U2 D2	0	2	2	4	4
F2 B2 D2 F2	0	3	1	4	4
F2 B2 D2 B2	0	3	1	4	4
F2 B2 D2 R2	1	2	1	4	4
F2 B2 D2 L2	1	2	1	4	4
F2 R2 F2 B2	1	3	0	4	4
F2 R2 F2 R2	2	2	0	4	4
F2 R2 F2 L2	2	2	0	4	4
F2 R2 F2 U2	1	2	1	4	4
F2 R2 F2 D2	1	2	1	4	4
F2 R2 B2 R2	2	2	0	4	4
F2 R2 B2 L2	2	2	0	4	4
F2 R2 B2 U2	1	2	1	4	4
F2 R2 B2 D2	1	2	1	4	4
F2 R2 L2 F2	2	2	0	4	4
F2 R2 L2 B2	2	0	0	2	4
F2 R2 L2 U2	2	1	1	4	4
F2 R2 L2 D2	2	1	1	4	4
F2 R2 U2 F2	1	2	1	4	4
F2 R2 U2 B2	1	2	1	4	4
F2 R2 U2 R2	2	1	1	4	4
F2 R2 U2 L2	2	1	1	4	4
F2 R2 U2 D2	1	1	2	4	4
